"","PCs","Accuracy","Sensitivity","Specificity","MRD_best_cut","P_value","adj_P_value_BH","adj_P_value_bonferroni"
"140","2, 4, 5, 6, 7, 8, 10",20,9,11,0.00123477775435078,0.000221141088014154,0.00136281525926795,0.226227333038479
"141","4, 6, 10",20,9,11,0.0012021671403366,0.000221141088014154,0.00136281525926795,0.226227333038479
"142","1, 2, 3, 6, 10",20,9,11,0.00119590144203094,0.000221141088014154,0.00136281525926795,0.226227333038479
"143","2, 3, 4, 5, 6, 7, 8, 10",20,9,11,0.00118045436796716,0.000221141088014154,0.00136281525926795,0.226227333038479
"144","1, 2, 3, 4, 6, 7, 8, 10",20,9,11,0.00115300678172414,0.000221141088014154,0.00136281525926795,0.226227333038479
"145","1, 3, 4, 5, 8, 9, 10",20,9,11,0.00114918764164084,0.000221141088014154,0.00136281525926795,0.226227333038479
"146","1, 4, 5, 8, 9, 10",20,9,11,0.00111216184604903,0.000221141088014154,0.00136281525926795,0.226227333038479
"147","3, 5, 6, 9, 10",20,9,11,0.00109545169212828,0.000221141088014154,0.00136281525926795,0.226227333038479
"148","1, 4, 5, 8, 10",20,9,11,0.00109444970924934,0.000221141088014154,0.00136281525926795,0.226227333038479
"149","1, 2, 3, 4, 5, 8, 9, 10",20,9,11,0.00104589182477654,0.000221141088014154,0.00136281525926795,0.226227333038479
"150","1, 2, 5, 8, 9, 10",20,9,11,0.00103826206898356,0.000221141088014154,0.00136281525926795,0.226227333038479
"151","1, 2, 4, 5, 8, 9, 10",20,9,11,0.00103658399188049,0.000221141088014154,0.00136281525926795,0.226227333038479
"152","1, 2, 4, 5, 8, 10",20,9,11,0.00101226529373817,0.000221141088014154,0.00136281525926795,0.226227333038479
"153","1, 4, 5, 7, 8, 10",20,9,11,0.00101209101537797,0.000221141088014154,0.00136281525926795,0.226227333038479
"154","1, 2, 4, 5, 6, 7, 8, 10",20,9,11,0.00100666764242693,0.000221141088014154,0.00136281525926795,0.226227333038479
"155","1, 2, 3, 4, 5, 6, 7, 8, 10",20,9,11,0.000994190984174026,0.000221141088014154,0.00136281525926795,0.226227333038479
"156","4, 5, 7, 8, 10",20,9,11,0.000990541276183459,0.000221141088014154,0.00136281525926795,0.226227333038479
"157","2, 3, 4, 5, 7, 10",20,9,11,0.000987694265819541,0.000221141088014154,0.00136281525926795,0.226227333038479
